League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Ukraine Ukrainian Premier League,2022/2023,2022-10-18 09:00:00,8,Chornomorets,Zorya,0,4,4,[],"['17', '30', '45', '86']",3.5,3.5,1.83,1.85,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ukraine Ukrainian Premier League,2022/2023,2022-10-18 09:00:00,8,Oleksandria,Hirnyk,2,0,2,"['7', '61']",[],1.65,3.55,4.5,1.8,1.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-19 07:00:00,8,Vorskla,Rukh Vynnyky,0,1,1,[],['28'],1.8,3.5,3.6,1.65,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-19 07:00:00,8,Dnipro-1,Inhulets,2,2,4,"['45+1', '68']","['55', '66']",1.27,4.98,7.46,1.58,1.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-19 11:00:00,8,Shakhtar Donetsk,Kolos Kovalivka,3,0,3,"['8', '47', '56']",[],1.33,4.2,7.5,1.78,1.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-19 11:30:00,8,Metalist 1925 Kharkiv,Minai,0,1,1,[],['69'],2.0,3.2,3.3,2.05,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-22 09:00:00,9,Oleksandria,Lviv,2,0,2,"['45+2', '66']",[],1.91,3.3,3.6,1.88,1.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-23 07:00:00,9,Dynamo Kyiv,Vorskla,1,1,2,['33'],['44'],1.4,4.0,6.0,1.65,1.94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-23 07:00:00,9,Metal Kharkiv,Dnipro-1,0,1,1,[],['85'],5.5,4.33,1.44,1.65,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-23 07:00:00,9,Veres Rivne,Zorya,0,1,1,[],['73'],3.8,3.6,1.75,1.8,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-23 09:00:00,9,Rukh Vynnyky,Metalist 1925 Kharkiv,1,1,2,['33'],['89'],2.38,3.25,2.7,1.8,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-24 07:00:00,9,Hirnyk,Inhulets,2,1,3,"['72', '75']",['78'],2.21,3.0,3.2,2.23,2.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-24 10:00:00,9,Kolos Kovalivka,Chornomorets,1,1,2,['72'],['20'],2.01,3.25,3.4,1.98,1.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-28 11:00:00,10,Metalist 1925 Kharkiv,Zorya,0,3,3,[],"['38', '45', '58']",4.0,4.0,1.68,1.68,1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-29 07:00:00,10,Vorskla,Minai,2,0,2,"['19', '64']",[],1.95,3.3,3.55,2.02,1.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-29 11:00:00,10,Shakhtar Donetsk,Oleksandria,2,2,4,"['42', '82']","['5', '86']",1.36,4.5,6.5,1.6,1.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-30 08:00:00,10,Lviv,Metal Kharkiv,1,1,2,['78'],['9'],2.85,3.4,2.23,1.81,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-30 08:00:00,10,Dnipro-1,Chornomorets,1,0,1,['23'],[],1.28,5.6,7.5,1.6,2.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-30 12:00:00,10,Dynamo Kyiv,Hirnyk,3,1,4,"['20', '22', '59']",['45+2'],1.21,5.2,9.9,1.65,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-31 08:00:00,10,Kolos Kovalivka,Veres Rivne,2,0,2,"['69', '76']",[],2.08,3.25,3.42,2.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-04 08:00:00,11,Vorskla,Lviv,1,0,1,['53'],[],1.58,3.65,4.7,1.95,1.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-05 08:00:00,11,Zorya,Metal Kharkiv,3,2,5,"['72', '89', '90+3']","['58', '75']",1.83,3.25,3.8,1.83,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
