Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
36,1443980,Australia A-League,2021/2022,2022-01-15 05:45:00,10,Adelaide United,Melbourne City FC,2,2,4,"['60', '84']","['24', '66']",4.2,4.1,1.66,1.6,2.3,1.57,2.25
37,1416055,Australia A-League,2021/2022,2022-01-19 05:45:00,5,Brisbane Roar,Perth Glory FC,1,0,1,['77'],[],2.19,3.08,3.0,1.83,1.87,1.67,2.1
38,1444059,Australia A-League,2021/2022,2022-01-21 05:45:00,23,Wellington Phoenix,Western United,2,1,3,"['16', '35']",['90+4'],2.75,3.65,2.35,1.67,2.1,1.6,2.25
39,1443967,Australia A-League,2021/2022,2022-01-22 05:45:00,7,Sydney FC,Perth Glory FC,1,2,3,['90+3'],"['55', '85']",1.52,3.83,5.42,1.7,2.15,1.78,1.95
40,1444055,Australia A-League,2021/2022,2022-01-23 02:05:00,22,Central Coast Mariners,Melbourne City FC,1,3,4,['41'],"['18', '57', '84']",3.25,3.6,2.05,1.57,2.25,1.57,2.33
41,1443987,Australia A-League,2021/2022,2022-01-23 04:45:00,11,Brisbane Roar,Adelaide United,1,3,4,['2'],"['24', '48', '85']",2.17,3.26,2.92,1.83,2.03,1.7,2.05
42,1443993,Australia A-League,2021/2022,2022-01-25 05:45:00,8,Melbourne Victory FC,Sydney FC,2,2,4,"['17', '77']","['37', '81']",3.35,3.26,2.01,2.08,1.78,1.72,2.1
43,1443997,Australia A-League,2021/2022,2022-01-29 05:45:00,12,Brisbane Roar,Western Sydney Wanderers,3,0,3,"['27', '65', '74']",[],2.29,3.44,3.22,1.87,1.99,1.65,2.1
44,1443998,Australia A-League,2021/2022,2022-01-29 05:45:00,12,Western United,Melbourne City FC,1,0,1,['71'],[],4.18,3.67,1.89,1.68,2.05,1.57,2.25
45,1443999,Australia A-League,2021/2022,2022-01-30 02:05:00,12,Sydney FC,Central Coast Mariners,3,2,5,"['45+2', '71', '79']","['53', '57']",1.67,3.75,4.5,1.75,1.95,1.72,2.05
46,1443994,Australia A-League,2021/2022,2022-01-30 04:45:00,12,Newcastle Jets FC,Adelaide United,1,2,3,['59'],"['88', '90+1']",2.35,3.45,2.85,1.67,2.05,1.6,2.25
47,1443978,Australia A-League,2021/2022,2022-02-01 05:45:00,10,Macarthur,Western United,2,2,4,"['77', '87']","['16', '74']",2.5,3.3,2.88,1.93,1.87,1.67,2.1
48,1443975,Australia A-League,2021/2022,2022-02-02 05:45:00,9,Western Sydney Wanderers,Perth Glory FC,1,0,1,['26'],[],2.09,3.62,3.3,1.76,2.04,1.62,2.2
49,1444001,Australia A-League,2021/2022,2022-02-03 05:45:00,13,Newcastle Jets FC,Brisbane Roar,2,1,3,"['22', '70']",['64'],2.15,3.6,3.25,1.73,2.1,1.62,2.2
50,1444000,Australia A-League,2021/2022,2022-02-04 05:45:00,13,Adelaide United,Sydney FC,1,2,3,['32'],"['10', '73']",2.57,3.4,2.25,1.68,2.05,1.62,2.2
51,1443965,Australia A-League,2021/2022,2022-02-05 03:05:00,7,Western Sydney Wanderers,Western United,0,1,1,[],['29'],2.16,3.6,3.25,1.85,2.03,1.67,2.1
52,1444004,Australia A-League,2021/2022,2022-02-06 02:05:00,13,Wellington Phoenix,Macarthur,3,1,4,"['12', '71', '78']",['58'],2.48,3.6,2.71,1.81,2.05,1.67,2.1
53,1443964,Australia A-League,2021/2022,2022-02-08 06:05:00,7,Newcastle Jets FC,Melbourne City FC,2,4,6,"['59', '84']","['40', '52', '56', '66']",3.2,3.75,1.96,1.58,2.35,1.53,2.38
54,1443996,Australia A-League,2021/2022,2022-02-09 05:05:00,12,Wellington Phoenix,Melbourne Victory FC,1,0,1,['74'],[],2.82,3.45,2.07,1.65,2.1,1.57,2.25
55,1443963,Australia A-League,2021/2022,2022-02-10 05:45:00,7,Central Coast Mariners,Macarthur,3,3,6,"['39', '76', '86']","['25', '33', '90']",2.21,3.37,3.02,1.83,2.04,1.62,2.25
56,1444006,Australia A-League,2021/2022,2022-02-11 05:45:00,14,Western Sydney Wanderers,Melbourne City FC,1,3,4,['80'],"['36', '43', '64']",3.75,3.55,1.95,1.8,2.0,1.67,2.1
57,1444007,Australia A-League,2021/2022,2022-02-12 02:50:00,14,Wellington Phoenix,Adelaide United,1,1,2,['20'],['90+2'],3.15,3.75,2.14,1.67,2.1,1.62,2.25
58,1444008,Australia A-League,2021/2022,2022-02-12 05:45:00,14,Sydney FC,Western United,1,1,2,['64'],['56'],2.02,3.47,3.9,1.88,1.96,1.67,2.1
59,1444009,Australia A-League,2021/2022,2022-02-12 05:45:00,14,Melbourne Victory FC,Newcastle Jets FC,1,2,3,['45+2'],"['57', '70']",2.0,3.74,3.68,1.7,2.0,1.67,2.1
60,1444010,Australia A-League,2021/2022,2022-02-13 03:45:00,14,Central Coast Mariners,Perth Glory FC,1,1,2,['58'],['90+3'],2.23,3.2,2.94,1.71,2.02,1.62,2.2
61,1444011,Australia A-League,2021/2022,2022-02-13 04:45:00,14,Brisbane Roar,Macarthur,3,1,4,"['2', '60', '78']",['74'],2.3,3.2,3.1,1.8,2.0,1.62,2.2
62,1443971,Australia A-League,2021/2022,2022-02-15 05:55:00,24,Melbourne City FC,Adelaide United,1,2,3,['11'],"['20', '85']",1.53,3.8,5.2,1.67,2.15,1.78,2.0
63,1443969,Australia A-League,2021/2022,2022-02-16 03:25:00,8,Wellington Phoenix,Brisbane Roar,3,0,3,"['33', '63', '67']",[],2.47,3.48,2.64,1.73,2.08,1.6,2.25
64,1443983,Australia A-League,2021/2022,2022-02-16 05:55:00,10,Western Sydney Wanderers,Melbourne Victory FC,2,0,2,"['55', '80']",[],2.7,3.4,2.6,1.67,2.2,1.62,2.25
65,1444012,Australia A-League,2021/2022,2022-02-18 05:45:00,15,Melbourne City FC,Newcastle Jets FC,3,0,3,"['45+2', '52', '64']",[],1.5,4.4,6.2,1.66,2.23,1.78,2.0
66,1444014,Australia A-League,2021/2022,2022-02-19 03:05:00,15,Wellington Phoenix,Sydney FC,1,1,2,['43'],['67'],3.57,3.42,1.9,1.73,2.0,1.7,2.15
67,1444015,Australia A-League,2021/2022,2022-02-19 05:45:00,15,Melbourne Victory FC,Central Coast Mariners,1,0,1,['90+4'],[],2.06,3.55,3.68,1.73,2.1,1.63,2.25
68,1444016,Australia A-League,2021/2022,2022-02-19 05:45:00,15,Macarthur,Adelaide United,4,1,5,"['43', '67', '73', '90+1']",['20'],2.25,3.75,3.06,1.84,2.02,1.66,2.2
69,1444013,Australia A-League,2021/2022,2022-02-20 02:05:00,15,Perth Glory FC,Brisbane Roar,2,0,2,"['8', '73']",[],2.68,3.54,2.53,1.8,1.95,1.7,2.05
70,1444017,Australia A-League,2021/2022,2022-02-20 04:45:00,15,Western United,Western Sydney Wanderers,3,2,5,"['27', '45+2', '68']","['51', '86']",2.1,3.35,3.2,1.83,1.84,1.67,2.1
71,1443985,Australia A-League,2021/2022,2022-02-22 05:55:00,8,Melbourne City FC,Central Coast Mariners,3,2,5,"['45+7', '57', '74']","['45', '65']",1.53,4.3,5.75,1.51,2.46,1.67,2.1
72,1443972,Australia A-League,2021/2022,2022-02-23 03:25:00,9,Western United,Sydney FC,1,0,1,['67'],[],2.65,3.2,2.45,1.85,1.85,1.68,2.05
73,1443995,Australia A-League,2021/2022,2022-02-23 05:55:00,12,Perth Glory FC,Macarthur,0,1,1,[],['9'],2.84,3.56,2.39,1.75,2.0,1.68,2.15
